2025-01-01T19:40:01.355+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T19:40:01.355+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
2025-01-01T19:40:04.957+0100 INFO  [main] org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-01T19:40:04.958+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-01-01T19:40:04.962+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 2 ms
2025-01-01T19:40:05.000+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - Started PostControllerTests in 9.343 seconds (process running for 11.454)
2025-01-01T19:40:05.250+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to fetch post with id 1
2025-01-01T19:40:05.501+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to fetch published posts
2025-01-01T19:40:05.564+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to add post
2025-01-01T19:40:05.585+0100 INFO  [main] pxl.be.services.controller.PostController - Publishing post with postId: 1
2025-01-01T19:40:05.616+0100 WARN  [main] org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'PUT' is not supported]
2025-01-01T19:40:05.676+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to fetch unpublished posts
2025-01-01T19:40:06.216+0100 INFO  [main] pxl.be.services.service.PostService - Attempting to update poststatus for post with id 1

2025-01-01T19:40:06.217+0100 INFO  [main] pxl.be.services.service.PostService - The poststatus for post with postId 1 has been succesfully updated!
2025-01-01T19:41:46.656+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T19:41:46.665+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T19:41:46.665+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information
2025-01-01T19:41:46.684+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - No active profile set, falling back to 1 default profile: "default"
2025-01-01T19:41:46.690+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T19:41:46.690+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
2025-01-01T19:41:49.603+0100 INFO  [main] org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-01T19:41:49.603+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-01-01T19:41:49.606+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2025-01-01T19:41:49.636+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - Started PostControllerTests in 7.009 seconds (process running for 8.924)
2025-01-01T19:41:49.826+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to fetch post with id 1
2025-01-01T19:41:50.034+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to fetch published posts
2025-01-01T19:41:50.075+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to add post
2025-01-01T19:41:50.090+0100 INFO  [main] pxl.be.services.controller.PostController - Publishing post with postId: 1
2025-01-01T19:41:50.120+0100 INFO  [main] pxl.be.services.controller.PostController - Request to update the poststatus of post with id: 1 has been received!
2025-01-01T19:41:50.133+0100 INFO  [main] pxl.be.services.controller.PostController - Attempting to fetch unpublished posts
2025-01-01T19:41:50.543+0100 INFO  [main] pxl.be.services.service.PostService - Attempting to update poststatus for post with id 1

2025-01-01T19:41:50.543+0100 INFO  [main] pxl.be.services.service.PostService - The poststatus for post with postId 1 has been succesfully updated!
