2025-01-01T19:02:53.658+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Sending notification to notification-service.. 
2025-01-01T19:02:53.665+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T19:02:53.665+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Succesfully added the review!

2025-01-01T19:02:53.666+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Attempting to update the poststatus for post with id: 1

2025-01-01T19:02:53.666+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Request to chat-service to update PostStatus for chat with id 1 has been sent.
2025-01-01T19:02:53.666+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Sending notification to notification-service.. 
2025-01-01T19:02:53.674+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T19:02:53.675+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Succesfully added the review!

2025-01-01T19:02:53.676+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Attempting to update the poststatus for post with id: 1

2025-01-01T19:02:53.676+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Request to chat-service to update PostStatus for chat with id 1 has been sent.
2025-01-01T19:02:53.676+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Sending notification to notification-service.. 
2025-01-01T19:02:53.684+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T19:02:53.685+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Succesfully added the review!

2025-01-01T19:02:53.685+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Attempting to update the poststatus for post with id: 1

2025-01-01T19:02:53.685+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Request to chat-service to update PostStatus for chat with id 1 has been sent.
2025-01-01T19:02:53.686+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Sending notification to notification-service.. 
